"Weekly Measles Incidence, 1928-2003"
"Data provided by Project Tycho, Data Version 1.0.0, released 28 November 2013."
YEAR,WEEK,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
1928,14,16.78,-,7.82,13.21,2.34,18.05,23.53,6.01,48.85,2.93,4.93,-,-,2.98,8.47,1.02,6.32,13.44,10.76,3.14,46.77,46.19,37.38,2.04,-,10.89,0.37,2.04,-,1.50,34.12,39.90,24.39,88.77,0.30,12.32,13.40,8.23,15.49,35.69,67.68,8.18,11.78,9.89,1.19,15.64,-,9.74,7.72,4.34,9.55
1928,15,15.45,-,8.06,23.06,2.21,8.48,23.40,11.59,-,5.65,4.62,-,2.00,2.16,13.54,1.27,4.22,12.50,5.62,5.27,66.71,37.30,31.55,3.59,-,2.47,1.11,2.19,-,-,39.87,25.72,23.48,63.56,2.26,15.65,14.89,7.26,19.23,34.81,31.80,6.57,9.53,4.70,0.79,11.17,-,11.80,13.44,3.46,9.55
1928,16,14.89,-,13.27,13.37,2.98,10.06,23.02,6.01,39.67,6.42,3.93,-,-,3.09,9.74,1.27,4.54,12.23,9.69,2.76,62.98,32.82,31.85,3.47,-,13.00,0.92,9.56,-,22.86,39.67,57.21,27.56,49.48,1.80,13.85,16.64,11.43,23.84,44.10,33.24,5.26,12.27,4.97,0.20,8.38,-,7.67,9.91,4.28,6.36
1928,17,16.14,-,1.90,21.28,2.08,9.47,22.45,15.02,35.07,6.56,5.17,-,-,2.28,20.24,0.73,9.03,12.43,17.20,3.89,45.22,33.13,24.14,4.05,-,14.63,0.74,9.34,-,6.41,37.78,15.38,26.25,44.91,3.91,10.62,19.07,9.62,20.65,53.24,23.06,1.61,29.88,1.81,-,8.94,-,10.64,12.21,1.68,6.36
1928,18,9.51,-,2.13,24.31,2.25,18.15,24.03,12.88,-,9.91,12.64,-,-,3.22,18.77,-,12.76,10.44,12.50,6.52,53.17,30.28,8.40,3.59,-,11.36,2.59,4.01,-,5.56,50.50,33.41,34.20,44.55,3.16,14.07,14.76,7.59,27.19,43.66,18.52,6.57,8.69,6.24,0.20,6.98,-,8.12,4.25,2.81,10.00
1928,19,13.86,-,28.20,19.00,2.04,1.97,24.16,18.45,37.79,7.05,5.51,-,0.22,3.63,14.63,0.73,10.92,8.65,11.48,4.02,50.75,23.76,25.08,4.48,-,14.41,2.03,9.56,-,1.07,53.28,44.23,34.67,36.15,1.65,16.24,18.34,4.27,25.78,32.60,15.18,4.23,6.48,3.42,-,20.39,-,8.38,7.08,2.43,7.27
1928,20,14.02,-,1.18,16.57,2.25,13.71,17.69,17.17,48.85,4.88,3.55,-,0.89,2.82,21.17,-,12.59,7.56,11.19,2.38,47.20,18.54,24.20,3.01,-,14.47,1.85,2.84,-,13.25,49.19,35.82,35.60,34.20,1.50,14.88,9.94,3.10,29.53,36.43,14.20,3.07,7.05,1.81,0.60,6.42,-,5.67,6.31,2.94,5.45
1928,21,13.67,-,2.13,9.64,1.67,12.43,22.45,8.58,39.87,9.28,4.41,-,0.22,3.22,13.92,-,8.11,6.23,5.72,4.39,35.28,22.22,20.24,4.28,-,13.77,6.65,3.21,-,3.42,47.73,12.02,34.69,29.33,3.76,15.72,10.92,4.59,28.23,34.51,12.13,1.75,5.34,2.04,-,12.57,-,5.03,3.30,2.09,9.55
1928,22,9.92,-,2.13,9.04,1.68,-,22.26,16.31,44.89,12.21,3.58,-,2.23,3.54,14.85,0.37,6.27,5.06,8.14,9.79,26.65,17.07,20.88,2.85,-,11.80,6.28,2.70,-,2.35,45.26,14.18,35.63,14.24,1.35,18.31,7.12,4.06,28.37,32.01,13.28,30.66,4.46,4.33,0.20,14.80,-,4.32,4.25,1.95,5.45
1928,23,8.30,-,3.32,9.80,1.33,6.61,21.56,4.29,40.08,5.51,2.58,-,-,2.57,10.31,-,4.11,3.74,7.07,5.02,19.75,18.19,21.59,3.36,-,8.08,2.40,3.14,-,5.56,41.48,3.12,33.05,18.69,3.01,11.88,7.55,2.56,20.42,28.91,7.65,9.64,3.28,4.18,0.40,13.69,-,4.00,3.01,3.97,2.27
1928,24,5.72,-,48.58,5.52,0.92,8.38,18.33,6.87,25.89,8.23,1.72,-,0.22,2.85,10.74,0.45,5.46,5.38,3.10,7.90,14.97,16.29,21.52,2.43,-,7.64,0.92,1.31,-,1.71,33.11,6.73,26.40,11.68,0.60,16.63,2.65,3.74,25.44,30.97,5.69,0.73,3.62,0.90,-,12.57,-,2.39,4.01,1.64,4.09
1928,25,4.81,-,-,1.84,0.71,5.82,18.58,7.73,27.14,6.42,-,-,1.34,2.46,7.16,-,2.70,3.51,1.74,6.40,12.86,14.56,16.51,1.23,-,5.47,0.37,2.04,-,9.62,24.92,1.20,21.63,7.62,1.20,10.59,2.26,4.27,23.26,28.76,4.31,0.88,2.02,1.52,-,9.50,-,4.19,2.30,2.19,0.91
1928,26,4.02,-,1.42,3.30,0.71,0.89,15.66,15.02,19.83,1.47,-,-,-,2.44,6.10,0.37,3.14,4.71,0.97,4.27,8.39,12.43,12.73,1.50,-,6.53,0.74,2.48,-,7.69,20.04,3.85,14.20,4.25,1.05,15.06,2.90,3.95,17.19,28.61,1.55,1.31,1.60,1.83,-,15.64,-,3.09,1.42,1.40,-
1928,27,1.70,-,0.24,0.92,0.43,4.64,18.64,2.58,17.33,3.28,1.62,-,0.45,1.62,3.61,0.24,1.78,1.48,4.02,5.65,5.03,10.17,9.15,1.04,-,2.00,2.77,0.22,-,-,12.98,0.96,12.13,3.44,1.20,7.22,1.28,2.46,11.01,24.34,3.11,10.51,1.18,0.79,-,4.47,-,1.55,1.36,1.09,0.45
1928,28,1.63,-,10.43,0.54,0.37,4.83,12.18,3.43,5.43,2.44,1.00,-,-,1.19,2.12,0.29,1.03,1.52,0.78,2.63,3.73,9.11,7.20,0.69,-,1.44,7.02,0.15,-,5.34,10.89,2.40,9.01,2.76,1.50,8.67,0.98,2.46,8.92,20.80,0.98,1.31,1.41,0.97,0.79,18.44,-,1.16,1.89,0.82,-
1928,29,1.29,-,0.95,2.11,0.41,3.55,9.38,-,-,0.63,0.55,-,-,1.07,1.28,0.12,0.97,0.74,0.78,8.03,2.36,6.40,4.87,0.27,-,1.08,2.22,0.29,-,-,5.70,0.24,6.79,1.82,1.50,3.37,0.26,0.85,8.58,16.22,0.40,1.17,0.27,0.41,-,5.03,-,0.45,1.06,0.79,-
1928,30,2.50,-,1.18,0.92,0.36,1.58,6.91,-,-,0.28,0.14,-,0.22,0.62,0.68,0.20,0.27,0.78,0.29,9.66,1.30,5.17,4.09,0.12,-,0.39,0.37,0.07,-,2.14,4.86,0.48,3.53,0.58,1.50,4.86,0.21,1.28,4.86,29.35,0.35,0.44,0.57,-,0.20,5.03,-,0.58,0.59,0.62,0.45
1928,31,0.23,-,1.90,0.27,0.37,0.99,4.25,-,3.97,0.91,0.31,-,-,0.65,0.93,0.24,0.76,0.51,0.78,5.02,0.93,3.15,1.35,0.04,-,0.31,5.18,0.51,-,2.35,2.47,-,3.13,0.42,0.60,2.95,0.26,1.50,4.97,25.96,0.46,2.92,0.46,0.11,-,4.19,-,1.03,0.53,0.62,-
1928,32,0.53,-,-,0.22,0.21,1.08,2.47,-,0.84,-,0.10,-,-,0.38,0.56,-,0.27,-,0.05,5.02,0.37,2.13,1.31,0.19,-,0.44,0.18,-,-,1.28,1.66,0.96,2.49,0.78,0.45,1.00,-,0.64,2.58,8.41,0.29,1.90,0.30,0.11,0.40,1.12,-,0.58,0.12,0.65,0.45
1928,33,0.27,-,0.71,0.05,0.07,0.59,1.20,-,1.46,0.07,0.14,-,-,0.34,0.28,-,0.32,-,0.63,2.01,0.75,-,0.56,0.23,-,0.25,0.37,0.07,-,2.56,1.08,-,1.67,0.39,1.05,1.98,0.13,0.96,1.83,2.06,-,1.31,0.50,0.05,0.60,0.28,-,0.45,0.59,0.58,-
1928,34,1.06,-,0.95,0.27,0.21,0.20,0.70,0.43,0.63,0.14,0.17,-,0.22,0.32,0.09,-,0.11,-,0.10,2.01,0.81,1.09,0.56,0.23,-,0.33,0.92,0.36,-,0.43,0.48,0.48,-,-,-,0.36,0.90,0.85,1.37,2.36,-,-,0.11,0.05,0.20,0.56,-,1.10,0.41,0.65,-
1928,35,0.27,-,-,-,0.36,-,0.82,-,-,-,0.14,-,0.45,0.32,0.19,-,0.32,-,0.19,6.65,0.93,1.00,0.62,0.15,-,0.08,0.37,0.07,-,0.43,0.81,-,0.76,1.10,-,0.92,0.04,0.21,0.93,3.69,0.58,1.46,-,-,0.40,0.28,-,0.71,0.24,0.14,-
1928,36,0.19,-,0.47,0.54,0.22,0.39,0.82,-,-,0.42,-,-,-,0.18,0.12,-,0.27,0.35,0.34,1.51,0.62,0.55,0.32,0.15,-,0.42,0.18,-,-,1.28,0.25,0.24,1.04,-,-,0.30,0.26,0.53,0.62,1.33,0.06,-,0.08,0.02,-,-,-,0.71,0.77,0.65,0.91
1928,37,0.42,-,2.61,0.11,0.37,0.49,0.76,0.86,0.21,-,0.07,-,-,0.30,0.31,-,0.27,-,0.05,2.26,0.37,0.81,0.54,0.46,-,0.06,0.55,0.15,-,24.36,0.35,0.48,0.56,0.29,0.30,0.71,0.13,0.32,0.75,0.29,-,-,0.08,0.02,0.20,-,-,0.97,0.06,0.41,-
1928,38,0.19,-,0.71,0.11,0.24,-,0.25,0.43,0.84,-,0.07,-,-,0.57,0.06,-,0.27,-,0.10,2.63,0.50,1.02,0.30,0.35,-,0.08,0.18,0.15,-,3.85,0.45,-,0.62,0.36,0.15,0.33,-,0.32,1.04,0.74,-,-,0.04,0.05,-,0.28,-,0.64,0.47,0.72,-
1928,39,2.77,-,-,0.49,0.62,0.10,0.70,-,0.84,-,-,-,0.22,0.53,0.31,-,0.22,-,-,2.51,0.81,1.19,0.36,0.27,-,0.06,0.74,0.07,-,3.21,0.30,1.44,0.76,0.16,0.45,0.98,0.34,0.75,1.05,-,-,0.15,-,0.11,-,0.56,-,1.23,0.71,0.92,0.45
1928,40,0.15,-,0.00,0.38,0.33,0.35,0.16,0.21,0.10,0.10,0.05,-,0.89,0.28,0.14,0.00,0.81,0.00,0.17,1.19,0.22,1.21,0.32,0.73,0.00,0.11,2.03,0.62,-,4.17,0.15,0.00,0.38,-,0.00,0.26,0.21,1.44,0.88,0.52,0.00,0.58,0.15,0.16,0.30,1.82,-,1.68,0.06,0.26,0.68
1928,41,0.23,-,1.66,0.11,0.21,0.20,1.71,1.29,0.84,-,0.10,-,0.22,0.91,0.34,-,0.22,-,0.29,3.26,0.56,2.02,0.56,1.39,-,0.11,1.48,1.46,-,0.85,0.76,0.24,1.34,0.49,0.15,1.01,0.09,1.39,1.97,0.59,0.12,-,0.04,-,0.20,0.56,-,1.16,0.59,0.92,-
1928,42,0.30,-,-,0.05,0.51,0.20,2.22,0.86,1.04,0.14,0.24,-,0.89,0.99,0.22,-,0.11,-,0.15,4.27,0.75,5.76,1.41,1.66,-,0.44,2.59,-,-,19.02,1.16,0.24,1.65,0.16,0.75,1.06,0.21,1.71,2.79,1.62,-,0.15,-,0.35,-,0.28,-,1.42,0.47,1.71,0.45
1928,43,0.27,-,-,-,0.26,0.39,3.04,0.43,-,-,0.28,-,-,1.21,0.37,-,0.38,-,0.44,8.91,2.24,4.72,0.62,0.77,-,0.36,3.51,0.88,-,8.12,1.56,0.24,1.93,0.65,0.75,1.89,0.17,1.39,3.25,3.24,-,0.15,0.23,0.09,0.20,0.84,-,1.48,0.59,3.08,-
1928,44,0.23,-,-,0.05,0.28,0.49,2.66,-,0.42,0.42,0.90,-,0.22,1.86,0.19,-,0.27,-,0.39,17.19,1.06,7.28,1.29,1.08,-,0.22,1.85,0.80,-,7.91,1.71,2.16,2.85,1.65,-,-,0.09,2.14,4.60,-,-,-,-,0.04,0.40,0.56,-,2.13,2.06,2.77,0.45
1928,45,0.83,-,-,0.11,0.30,0.20,1.59,2.15,0.84,0.14,0.41,-,0.67,2.32,1.59,-,0.16,-,0.82,9.41,2.30,5.50,0.45,0.54,-,0.97,0.18,0.29,-,2.56,1.64,0.48,2.10,2.04,1.65,-,0.13,3.42,3.26,2.51,-,0.29,-,0.09,0.40,0.28,-,1.35,2.00,2.36,-
1928,46,0.91,-,-,0.05,0.21,0.39,7.29,0.43,-,-,1.58,-,1.11,1.53,1.21,-,0.38,-,1.41,8.28,1.74,9.01,0.81,0.85,-,2.11,9.06,0.15,-,2.78,1.97,-,3.16,1.01,0.90,3.12,0.21,1.39,6.35,8.55,0.17,0.15,-,0.26,0.40,20.95,-,1.68,1.47,2.50,0.45
1928,47,0.83,-,-,0.32,0.37,0.79,5.90,-,1.04,0.28,1.14,-,0.22,4.20,1.34,-,0.32,0.19,4.46,26.10,2.61,11.50,0.64,1.00,-,1.61,5.36,0.44,-,2.99,3.28,0.48,5.01,1.23,1.05,1.86,0.38,6.20,7.84,4.87,0.17,0.29,-,0.04,0.20,-,-,2.32,2.48,2.09,-
1928,48,0.68,-,0.24,2.06,0.47,0.99,5.07,1.29,0.21,0.21,0.90,-,0.67,2.81,1.93,-,0.54,-,1.50,17.19,1.74,11.43,0.47,0.93,-,0.58,15.34,-,-,2.78,1.51,0.24,3.63,0.45,0.45,3.57,0.26,5.13,9.08,3.98,0.23,0.29,0.11,0.55,0.20,1.40,-,1.61,4.07,5.03,1.36
1928,49,0.64,-,0.24,0.27,0.39,0.30,5.52,2.15,-,0.42,0.03,-,0.89,4.37,2.33,-,1.08,-,4.41,27.48,2.86,15.11,3.19,2.04,-,1.56,19.41,0.66,-,7.26,2.19,-,6.60,0.26,0.60,2.68,0.13,5.88,4.47,4.13,0.23,0.29,0.27,0.07,0.20,4.75,-,2.32,2.42,4.04,0.91
1928,50,1.06,-,6.64,0.87,0.26,0.20,11.03,4.29,0.84,0.35,3.03,-,1.56,3.66,4.30,-,0.65,-,1.94,-,1.43,15.30,0.86,2.62,-,2.44,13.31,0.44,-,3.85,2.44,0.24,6.74,0.91,2.26,5.34,0.21,9.40,12.34,4.72,0.17,5.11,0.04,0.25,0.40,-,-,2.39,3.30,5.47,-
1928,51,8.03,-,0.71,4.11,0.34,-,14.33,-,-,0.35,2.89,-,-,4.11,3.55,-,0.86,-,8.24,25.47,2.30,14.63,1.37,4.67,-,0.78,9.80,2.48,-,5.77,2.22,0.48,7.10,0.84,0.75,2.57,0.13,4.38,4.93,7.23,1.67,1.46,-,0.26,0.20,3.35,-,2.39,4.54,5.54,-
1928,52,3.11,-,0.24,-,0.32,0.39,17.06,6.87,0.21,-,1.14,-,2.45,3.26,6.85,-,1.46,-,0.05,48.31,2.48,15.41,1.16,1.93,-,0.86,4.62,0.36,-,7.91,1.99,-,5.30,0.81,0.90,9.78,0.09,4.17,14.37,4.13,0.06,3.80,-,0.09,0.20,4.19,-,2.39,5.54,5.10,0.91
1929,1,1.21,-,0.23,1.19,0.40,0.89,26.35,3.39,0.21,0.69,0.79,-,-,4.34,3.63,-,0.59,-,5.47,77.16,3.64,13.83,0.90,2.18,-,2.04,14.31,0.73,-,11.78,3.66,0.48,7.78,0.41,2.37,5.40,-,5.60,-,7.02,0.12,5.94,0.04,0.75,0.20,1.11,-,1.80,3.49,4.74,1.79
1929,2,2.61,-,0.23,0.65,0.47,1.29,24.47,17.37,0.41,0.14,2.03,-,1.12,4.46,4.15,-,0.96,-,1.58,27.10,2.84,18.73,1.96,4.70,-,0.75,13.74,0.95,-,8.14,4.74,-,7.77,0.73,1.48,9.89,0.38,5.17,9.39,10.53,0.29,4.49,1.08,1.54,-,2.51,-,5.34,8.21,6.51,1.35
1929,3,4.31,-,3.02,1.57,0.58,1.19,17.75,1.69,0.83,1.04,3.34,-,1.79,3.31,4.37,-,1.29,-,2.73,27.35,3.45,12.58,1.98,5.09,-,4.67,24.81,1.53,-,13.06,3.94,0.71,6.93,0.73,4.15,4.51,0.42,4.65,10.32,7.46,0.29,2.46,0.19,0.35,0.20,6.69,-,3.09,5.13,5.25,0.90
1929,4,3.93,-,0.70,1.62,0.52,0.20,20.33,13.14,0.41,0.28,1.38,-,2.24,5.35,5.73,-,3.86,1.96,1.34,28.11,5.06,14.90,3.88,6.84,-,3.73,26.53,1.67,-,8.14,4.61,0.24,6.04,1.37,4.60,5.96,0.30,8.45,13.01,6.29,0.23,9.28,0.15,2.52,0.59,-,-,2.44,5.65,7.40,1.35
1929,5,4.16,-,-,0.97,1.57,0.99,15.87,8.05,0.62,0.35,1.00,-,0.45,5.76,6.97,0.65,2.52,1.23,1.82,22.21,3.45,9.29,3.15,9.41,-,6.27,21.56,3.35,-,4.28,3.61,1.19,6.06,0.70,5.49,11.55,0.34,10.88,16.67,8.92,0.35,7.68,1.00,1.25,0.39,6.96,-,3.02,4.48,13.36,2.24
1929,6,1.63,-,-,0.38,0.89,0.40,23.46,4.66,0.62,0.35,1.93,-,1.12,7.85,8.25,-,3.11,-,1.44,35.38,5.92,10.45,3.94,15.01,-,11.35,40.84,1.75,-,20.34,6.37,2.86,8.08,0.86,5.79,5.22,0.21,13.41,14.17,7.89,-,4.20,0.58,0.82,0.39,3.06,-,4.44,3.79,15.71,1.35
1929,7,6.05,-,6.28,4.75,1.05,0.79,20.58,9.75,0.62,0.69,1.83,-,2.91,9.10,11.10,-,3.48,0.88,2.01,44.29,7.83,8.94,8.61,11.08,-,7.84,25.38,1.75,-,6.21,5.67,2.14,6.71,3.13,2.67,19.79,0.04,14.78,20.69,10.82,0.12,6.81,0.15,0.89,-,5.01,-,6.17,7.57,15.68,13.45
1929,8,6.69,-,1.16,3.08,0.85,0.40,23.53,4.66,1.66,1.11,3.07,-,0.22,10.95,12.52,-,16.87,1.00,4.03,25.35,6.42,6.74,7.13,21.00,-,9.22,22.14,4.73,-,2.78,4.86,1.43,6.85,3.77,5.04,7.32,0.13,17.11,12.33,8.33,0.06,9.86,0.15,1.49,0.20,3.62,-,8.68,11.36,21.17,4.93
1929,9,5.14,-,-,7.13,0.72,0.30,23.90,16.53,2.28,2.84,2.03,-,0.22,12.92,12.99,0.28,8.41,0.73,8.63,49.56,8.95,8.28,11.30,18.27,-,13.69,21.95,6.91,-,3.43,8.25,0.71,7.53,3.32,8.01,25.11,0.46,19.54,25.10,11.26,0.58,13.33,0.15,1.30,0.20,18.38,-,9.65,9.73,31.70,2.69
1929,10,8.47,-,-,5.18,1.05,1.59,30.36,14.41,2.90,1.31,1.41,-,2.46,14.58,13.21,0.69,8.94,-,2.68,29.36,7.71,8.63,10.84,23.13,-,10.96,28.44,2.11,-,7.71,7.37,2.62,9.23,3.19,7.27,12.78,1.26,28.62,19.64,10.23,0.12,11.74,0.27,10.01,-,0.28,-,4.89,8.33,28.97,1.35
1929,11,1.82,-,13.26,10.75,1.07,0.99,34.69,26.27,3.93,3.67,0.86,-,0.22,17.25,13.61,0.65,18.48,1.42,7.53,29.74,8.64,8.51,13.06,23.02,-,14.25,18.13,3.13,-,0.64,6.99,1.43,9.55,2.74,12.46,30.32,3.41,16.79,20.19,7.75,0.58,6.67,0.35,0.75,0.39,5.29,-,6.43,-,19.19,27.35
1929,12,4.31,-,-,3.02,1.03,1.09,32.31,13.56,4.97,1.80,0.86,-,0.89,21.52,15.03,2.32,15.53,2.07,4.07,31.49,5.12,9.15,8.70,29.24,-,10.60,24.81,3.56,-,7.71,6.17,0.48,9.97,2.30,12.02,19.06,1.01,20.49,23.58,13.16,0.58,2.32,0.23,2.60,0.79,1.95,-,6.75,14.50,38.92,9.87
1929,13,4.58,-,0.23,5.13,1.10,2.38,28.17,14.41,3.73,5.88,1.41,-,0.22,22.77,17.61,3.41,16.76,-,5.37,25.60,4.81,7.83,13.70,16.56,-,14.41,13.36,4.95,-,5.57,6.84,0.48,9.82,2.43,5.79,39.33,2.28,19.01,17.61,7.60,0.46,5.07,0.46,2.07,-,-,-,6.05,19.80,29.41,15.25
1929,14,7.19,-,-,7.29,0.89,2.68,36.83,11.86,4.35,5.47,0.55,-,0.22,21.50,15.22,1.06,23.14,2.69,3.26,36.76,6.48,9.43,15.41,26.52,-,2.95,20.99,5.89,-,7.92,8.60,0.24,10.42,1.44,12.31,21.40,3.12,18.06,23.56,12.72,1.27,5.51,0.73,3.59,1.97,0.56,-,8.87,18.05,31.15,12.56
1929,15,7.56,-,1.63,1.35,0.98,1.79,38.90,7.63,4.97,4.01,1.34,-,0.89,25.27,19.09,3.37,25.23,-,2.73,32.25,4.19,10.00,18.58,20.57,-,10.16,16.60,5.24,-,16.70,7.17,-,9.00,1.34,18.55,40.61,2.53,25.55,19.94,14.18,0.58,2.46,1.46,5.78,1.77,0.84,-,12.35,21.90,44.07,12.11
1929,16,4.92,-,0.47,3.73,1.97,1.79,35.76,12.29,3.93,3.88,0.76,-,0.89,23.32,12.37,2.32,26.14,1.57,2.78,16.44,1.54,9.25,19.98,31.53,-,6.52,12.60,10.84,-,11.99,7.02,1.19,8.23,0.83,11.42,17.63,2.23,22.70,19.53,11.99,1.04,6.96,1.27,1.74,1.38,1.11,-,10.93,22.07,41.89,11.21
